qb_fd,def_fd
30.86,8.0
20.0,3.0
14.379999999999999,2.0
19.599999999999998,7.0
17.200000000000003,5.0
20.42,6.0
23.16,4.0
15.0,14.0
12.44,9.0
28.64,0.0
16.18,7.0
23.62,3.0
12.200000000000001,8.0
14.559999999999999,1.0
15.620000000000001,2.0
25.380000000000003,4.0
17.619999999999997,2.0
21.72,-4.0
2.16,11.0
14.16,0.0
38.98,20.0
23.02,2.0
14.540000000000001,2.0
26.540000000000003,-1.0
20.560000000000002,3.0
37.580000000000005,0.0
14.76,7.0
15.98,10.0
12.96,7.0
24.22,4.0
13.540000000000001,4.0
16.02,3.0
17.28,10.0
21.0,9.0
7.76,10.0
7.02,9.0
7.1000000000000005,9.0
19.96,7.0
13.32,-1.0
23.8,-4.0
54.88,-2.0
25.1,-1.0
14.059999999999999,12.0
14.100000000000001,4.0
13.719999999999999,4.0
14.82,8.0
28.56,4.0
4.9799999999999995,12.0
8.200000000000001,4.0
13.96,15.0
19.060000000000002,2.0
2.6399999999999997,21.0
15.76,0.0
11.64,7.0
6.84,15.0
20.659999999999997,6.0
30.060000000000002,0.0
9.4,6.0
23.64,9.0
7.82,6.0
36.1,1.0
16.759999999999998,19.0
18.84,3.0
10.06,-1.0
18.48,11.0
16.5,6.0
15.48,20.0
44.06,1.0
44.28,-4.0
14.8,8.0
29.02,1.0
28.1,7.0
8.420000000000002,8.0
5.46,15.0
17.56,1.0
12.24,5.0
9.940000000000001,8.0
13.120000000000001,20.0
7.48,6.0
23.16,3.0
21.02,2.0
23.7,1.0
18.06,7.0
21.48,2.0
16.38,14.0
7.38,1.0
8.5,25.0
27.12,-1.0
21.380000000000003,6.0
25.759999999999998,7.0
28.339999999999996,0.0
21.979999999999997,6.0
9.18,18.0
21.240000000000002,-1.0
17.38,6.0
12.84,9.0
7.0,3.0
36.42,7.0
10.02,7.0
26.360000000000003,6.0
22.94,3.0
12.16,3.0
18.439999999999998,13.0
11.48,3.0
13.88,6.0
12.5,-1.0
25.12,6.0
15.28,1.0
26.32,8.0
11.48,-1.0
5.92,17.0
18.7,13.0
29.0,-1.0
7.1000000000000005,14.0
29.42,2.0
7.58,16.0
8.3,12.0
9.879999999999999,10.0
24.44,-4.0
39.980000000000004,8.0
22.86,4.0
9.16,4.0
21.04,14.0
22.98,-4.0
2.4800000000000004,13.0
17.16,3.0
13.02,9.0
15.32,12.0
17.58,3.0
37.36,-4.0
20.300000000000004,7.0
16.02,-4.0
8.079999999999998,19.0
37.56,-2.0
16.92,8.0
4.8,12.0
24.2,5.0
28.779999999999998,3.0
14.0,5.0
35.78,6.0
12.22,4.0
