Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
134251-152646,QB,Kyle,Kyle McCord,McCord,,0,6000,MIA@SF,MIA,SF,,,,,,QB
134251-152673,QB,Athan,Athan Kaliakmanis,Kaliakmanis,,0,6000,WAS@DAL,WAS,DAL,,,,,,QB
134251-104576,QB,Sam,Sam Howell,Howell,,0,6000,WAS@DAL,DAL,WAS,,,,,,QB
134251-103591,QB,Graham,Graham Mertz,Mertz,,0,6000,CIN@HOU,HOU,CIN,IR,Knee - acl,,,,QB
134251-160938,QB,Quinn,Quinn Ewers,Ewers,8.920000076293945,4,6000,JAC@DEN,JAC,DEN,,,,,,QB
134251-86200,QB,Sean,Sean Clifford,Clifford,,0,6000,CIN@HOU,CIN,HOU,,,,,,QB
134251-149696,QB,Trey,Trey Lance,Lance,3.634999990463257,4,6000,LV@LAC,LAC,LV,,,,,,QB
134251-93382,QB,Aidan,Aidan O'Connell,O'Connell,4.78000020980835,1,6000,LV@LAC,LV,LAC,,,,,,QB
134251-166092,WR,Luther,Luther Burden III,Burden III,7,1,6000,MIN@CHI,CHI,MIN,,,,,,WR/FLEX
134251-152820,QB,Taylen,Taylen Green,Green,,0,6000,CLE@TB,CLE,TB,,,,,,QB
134251-91390,QB,Joe,Joe Milton III,Milton III,3.0799999237060547,4,6000,WAS@DAL,DAL,WAS,,,,,,QB
134251-103698,QB,Dillon,Dillon Gabriel,Gabriel,7.208000183105469,10,6000,CLE@TB,CLE,TB,IR,Back,,,,QB
134251-90406,QB,Zach,Zach Wilson,Wilson,0.3449999988079071,4,6000,NO@BAL,NO,BAL,,,,,,QB
134251-120105,QB,Will,Will Howard,Howard,,0,6000,PIT@NE,PIT,NE,,,,,,QB
134251-61798,QB,Gardner,Gardner Minshew II,Minshew II,0.17000000178813934,4,6000,SEA@ARI,ARI,SEA,,,,,,QB
134251-92560,QB,Sam,Sam Ehlinger,Ehlinger,,0,6000,JAC@DEN,DEN,JAC,NA,Coach's decision,,,,QB
134251-103824,QB,Easton,Easton Stick,Stick,,0,6000,CLE@TB,TB,CLE,,,,,,QB
134251-70051,QB,Tyler,Tyler Huntley,Huntley,8.027999877929688,5,6000,NO@BAL,BAL,NO,,,,,,QB
134251-151969,QB,Miller,Miller Moss,Moss,,0,6000,MIN@CHI,CHI,MIN,,,,,,QB
134251-166314,QB,Cade,Cade Klubnik,Klubnik,,0,6000,GB@NYJ,NYJ,GB,,,,,,QB
134251-185776,QB,Tyson,Tyson Bagent,Bagent,1.2899999618530273,2,6000,MIN@CHI,CHI,MIN,Q,Back,,,,QB
134251-117178,RB,Jacory,Jacory Croskey-Merritt,Croskey-Merritt,12.100000381469727,1,6000,WAS@DAL,WAS,DAL,,,,,,RB/FLEX
134251-169410,RB,Quinshon,Quinshon Judkins,Judkins,6,1,6000,CLE@TB,CLE,TB,,,,,,RB/FLEX
134251-22994,QB,Case,Case Keenum,Keenum,,0,6000,MIN@CHI,CHI,MIN,,,,,,QB
134251-90584,QB,Mac,Mac Jones,Jones,12.158332824707031,12,6000,MIA@SF,SF,MIA,,,,,,QB
134251-53729,QB,Mason,Mason Rudolph,Rudolph,2.8466666539510093,6,6000,PIT@NE,PIT,NE,,,,,,QB
134251-152061,QB,Behren,Behren Morton,Morton,,0,6000,PIT@NE,NE,PIT,,,,,,QB
134251-89607,QB,Tanner,Tanner McKee,McKee,3.690000057220459,4,6000,PHI@TEN,PHI,TEN,,,,,,QB
134251-160265,QB,Mark,Mark Gronowski,Gronowski,,0,6000,CIN@HOU,HOU,CIN,,,,,,QB
134251-89612,WR,Michael,Michael Wilson,Wilson,8.100000381469727,1,6000,SEA@ARI,ARI,SEA,,,,,,WR/FLEX
134251-102933,QB,Kedon,Kedon Slovis,Slovis,-0.03999999910593033,2,6000,GB@NYJ,GB,NYJ,,,,,,QB
134251-89628,QB,Davis,Davis Mills,Mills,11.59999974568685,6,6000,CIN@HOU,HOU,CIN,,,,,,QB
134251-94748,QB,Tommy,Tommy DeVito,DeVito,,0,6000,PIT@NE,NE,PIT,,,,,,QB
134251-87594,QB,Sam,Sam Hartman,Hartman,,0,6000,WAS@DAL,WAS,DAL,,,,,,QB
134251-160303,TE,Tucker,Tucker Kraft,Kraft,8,1,6000,GB@NYJ,GB,NYJ,,,,,,TE/FLEX
134251-6714,QB,Joe,Joe Flacco,Flacco,12.512307974008413,13,6000,CIN@HOU,CIN,HOU,,,,,,QB
134251-41562,QB,Nick,Nick Mullens,Mullens,-0.30000001192092896,1,6000,JAC@DEN,JAC,DEN,,,,,,QB
134251-208491,QB,Cole,Cole Payton,Payton,,0,6000,PHI@TEN,PHI,TEN,,,,,,QB
134251-135811,QB,Jalon,Jalon Daniels,Daniels,,0,6000,CLE@TB,TB,CLE,,,,,,QB
134251-187015,QB,Joey,Joey Aguilar,Aguilar,,0,6000,JAC@DEN,JAC,DEN,,,,,,QB
134251-184983,QB,Joe,Joe Fagnano,Fagnano,,0,6000,NO@BAL,BAL,NO,,,,,,QB
134251-29358,QB,Marcus,Marcus Mariota,Mariota,13.25,10,6000,WAS@DAL,WAS,DAL,,,,,,QB
134251-69294,QB,Skylar,Skylar Thompson,Thompson,,0,6000,NO@BAL,BAL,NO,IR,Undisclosed,,,,QB
134251-139985,QB,Bailey,Bailey Zappe,Zappe,,0,6000,GB@NYJ,NYJ,GB,,,,,,QB
134251-38628,QB,Mitchell,Mitchell Trubisky,Trubisky,7.78000020980835,4,6000,PHI@TEN,TEN,PHI,,,,,,QB
134251-8023,QB,Josh,Josh Johnson,Johnson,8.793333053588867,3,6000,CIN@HOU,CIN,HOU,,,,,,QB
134251-119641,QB,Brady,Brady Cook,Cook,7.091999816894531,5,6000,MIA@SF,MIA,SF,,,,,,QB
134251-154462,QB,Jalen,Jalen Milroe,Milroe,-0.5333333412806193,3,6000,SEA@ARI,SEA,ARI,,,,,,QB
134251-104306,QB,Kurtis,Kurtis Rourke,Rourke,,0,6000,MIA@SF,SF,MIA,,,,,,QB
134251-92020,QB,Kenny,Kenny Pickett,Pickett,2.4000000953674316,1,6000,CAR@ATL,CAR,ATL,,,,,,QB
134251-119670,QB,Carson,Carson Beck,Beck,,0,6000,SEA@ARI,ARI,SEA,,,,,,QB
134251-14225,QB,Andy,Andy Dalton,Dalton,2.630000114440918,4,6000,PHI@TEN,PHI,TEN,,,,,,QB
134251-128944,QB,Haynes,Haynes King,King,,0,6000,CAR@ATL,CAR,ATL,,,,,,QB
134251-56250,WR,Terry,Terry McLaurin,McLaurin,2.4000000953674316,1,6000,WAS@DAL,WAS,DAL,,,,,,WR/FLEX
134251-111557,QB,Spencer,Spencer Rattler,Rattler,11.515555487738716,9,6000,NO@BAL,NO,BAL,,,,,,QB
134251-200653,QB,Max,Max Brosmer,Brosmer,1.1742857524326868,7,6000,MIN@CHI,MIN,CHI,,,,,,QB
134251-85983,QB,Hendon,Hendon Hooker,Hooker,,0,6000,PHI@TEN,TEN,PHI,,,,,,QB
134251-166892,QB,Drew,Drew Allar,Allar,,0,6000,PIT@NE,PIT,NE,,,,,,QB
134251-129010,QB,DJ,DJ Uiagalelei,Uiagalelei,,0,6000,LV@LAC,LAC,LV,,,,,,QB
134251-166916,WR,Matthew,Matthew Golden,Golden,12.5,1,5900,GB@NYJ,GB,NYJ,,,,,,WR/FLEX
134251-40442,RB,Aaron,Aaron Jones Sr.,Jones Sr.,10,1,5900,MIN@CHI,MIN,CHI,,,,,,RB/FLEX
134251-69213,WR,Michael,Michael Pittman Jr.,Pittman Jr.,7.300000190734863,1,5900,PIT@NE,PIT,NE,,,,,,WR/FLEX
134251-144102,RB,Kyle,Kyle Monangai,Monangai,22.399999618530273,1,5900,MIN@CHI,CHI,MIN,,,,,,RB/FLEX
134251-201547,WR,Jalen,Jalen Coker,Coker,32.79999923706055,1,5900,CAR@ATL,CAR,ATL,Q,Ankle,,,,WR/FLEX
134251-39793,TE,George,George Kittle,Kittle,2.200000047683716,1,5900,MIA@SF,SF,MIA,,,,,,TE/FLEX
134251-152647,RB,TreVeyon,TreVeyon Henderson,Henderson,9.909524100167411,21,5800,PIT@NE,NE,PIT,Q,Ankle,,,,RB/FLEX
134251-94370,WR,Romeo,Romeo Doubs,Doubs,0,1,5800,PIT@NE,NE,PIT,,,,,,WR/FLEX
